name,abbreviation,first_release_date,generation,family
Wii,Wii,06/02/2006,7,Nintendo
Nintendo Entertainment System (NES),NES,14/07/1983,3,Nintendo
PC (Microsoft Windows),PC,21/10/2009,,
Game Boy,GB,20/04/1989,4,Nintendo
Nintendo DS,DS,20/11/2004,7,Nintendo
Xbox 360,X360,,7,Xbox
Super Nintendo Entertainment System (SNES),SNES,20/11/1990,4,Nintendo
PlayStation 3,PS3,15/03/2006,7,PlayStation
PlayStation 4,PS4,14/11/2013,8,PlayStation
Nintendo 3DS,3DS,25/02/2011,8,Nintendo
PlayStation 2,PS2,03/03/2000,6,PlayStation
Game Boy Advance,GBA,20/03/2001,6,Nintendo
Nintendo Switch,NS,02/03/2017,8,Nintendo
Sega Mega Drive/Genesis,GEN,28/10/1988,4,Sega
Nintendo 64,N64,22/06/1996,5,Nintendo
PlayStation,PS,02/12/1994,5,PlayStation
Xbox One,XOne,21/11/2013,8,Xbox
Wii U,WiiU,17/11/2012,8,Nintendo
Xbox,XB,14/11/2001,6,Xbox
PlayStation Portable,PSP,11/12/2004,7,PlayStation
Atari 2600,2600,10/09/1977,2,
Nintendo GameCube,GC,13/09/2001,6,
Game Boy Color,GBC,20/10/1998,5,Nintendo
PlayStation Network,PSN,10/11/2006,,PlayStation
PlayStation Vita,PSV,16/12/2011,8,PlayStation
Dreamcast,DC,26/11/1998,6,
Sega Saturn,SAT,21/11/1994,5,Sega
Sega CD,SCD,30/11/1991,4,Sega
WonderSwan,WS,03/03/1999,5,
Xbox Live Arcade,XBL,,,Xbox
Amiga CD32,Amig,14/09/1993,5,
Virtual Console (Nintendo),VC,,,Nintendo
N-Gage,NG,06/10/2003,6,
WiiWare,WW,,,
PC Engine SuperGrafx,PCE,,,
3DO Interactive Multiplayer,3DO,03/10/1993,5,
Sega Game Gear,GG,05/10/1990,4,Sega
Mac,OSX,23/03/2001,,
PC-FX,PCFX,22/12/1994,5,
Mobile,Mob,,,
